[2023-06-07 09:46:51] HotelChannelModel.INFO: Query : call SP_AddandEdithotelChannelInfo('GETONE',0,'' ,0 ,0,0,commonchannel,0,1)  
[2023-06-07 09:47:09] HotelChannelModel.INFO: Query : call SP_AddandEdithotelChannelInfo('GETONE',0,'' ,0 ,0,0,commonchannel,0,1)  
[2023-06-07 09:49:40] HotelChannelModel.INFO: Query : call SP_AddandEdithotelChannelInfo('GETONE',0,'' ,0 ,0,0,commonchannel,0,1)  
[2023-06-07 09:51:02] HotelChannelModel.INFO: Query : call SP_AddandEdithotelChannelInfo('GETONE',0,'' ,0 ,0,0,commonchannel,0,1)  
[2023-06-07 09:51:06] HotelChannelModel.INFO: Query : call SP_AddandEdithotelChannelInfo('GETCHANNELLIST',0,'' ,0 ,0,0,0,1,1)  
[2023-06-07 09:56:18] HotelChannelModel.INFO: Query : call SP_AddandEdithotelChannelInfo('GETCHANNELLIST',0,'' ,0 ,0,0,0,1,1)  
[2023-06-07 09:57:52] HotelChannelModel.INFO: Query : call SP_AddandEdithotelChannelInfo('GETCHANNELLIST',0,'' ,0 ,0,0,0,1,1)  
[2023-06-07 09:58:13] HotelChannelModel.INFO: Query : call SP_AddandEdithotelChannelInfo('GETCHANNELLIST',0,'' ,0 ,0,0,0,1,1)  
[2023-06-07 11:41:04] HotelChannelModel.INFO: Query : call SP_AddandEdithotelChannelInfo('GETCHANNELLIST',0,'' ,0 ,0,0,0,1,1)  
[2023-06-07 11:45:04] HotelChannelModel.INFO: Query : call SP_AddandEdithotelChannelInfo('GETCHANNELLIST',0,'' ,0 ,0,0,0,1,1)  
[2023-06-07 11:45:53] HotelChannelModel.INFO: Query : call SP_AddandEdithotelChannelInfo('GETCHANNELLIST',0,'' ,0 ,0,0,0,1,1)  
[2023-06-07 11:46:09] HotelChannelModel.INFO: Query : call SP_AddandEdithotelChannelInfo('GETCHANNELLIST',0,'' ,0 ,0,0,0,1,1)  
[2023-06-07 11:46:19] HotelChannelModel.INFO: Query : call SP_AddandEdithotelChannelInfo('GETCHANNELLIST',0,'' ,0 ,0,0,0,1,1)  
[2023-06-07 11:46:29] HotelChannelModel.INFO: Query : call SP_AddandEdithotelChannelInfo('GETCHANNELLIST',0,'' ,0 ,0,0,0,1,1)  
[2023-06-07 11:47:29] HotelChannelModel.INFO: Query : call SP_AddandEdithotelChannelInfo('GETCHANNELLIST',0,'' ,0 ,0,0,0,1,1)  
[2023-06-07 11:49:41] HotelChannelModel.INFO: Query : call SP_AddandEdithotelChannelInfo('GETCHANNELLIST',0,'' ,0 ,0,0,0,1,1)  
[2023-06-07 11:50:57] HotelChannelModel.INFO: Query : call SP_AddandEdithotelChannelInfo('GETCHANNELLIST',0,'' ,0 ,0,0,0,1,1)  
[2023-06-07 11:51:14] HotelChannelModel.INFO: Query : call SP_AddandEdithotelChannelInfo('GETCHANNELLIST',0,'' ,0 ,0,0,0,1,1)  
[2023-06-07 11:51:27] HotelChannelModel.INFO: Query : call SP_AddandEdithotelChannelInfo('GETCHANNELLIST',0,'' ,0 ,0,0,0,1,1)  
[2023-06-07 11:54:40] HotelChannelModel.INFO: Query : call SP_AddandEdithotelChannelInfo('GETCHANNELLIST',0,'' ,0 ,0,0,0,1,1)  
[2023-06-07 11:55:00] HotelChannelModel.INFO: Query : call SP_AddandEdithotelChannelInfo('GETCHANNELLIST',0,'' ,0 ,0,0,0,1,1)  
[2023-06-07 11:55:19] HotelChannelModel.INFO: Query : call SP_AddandEdithotelChannelInfo('GETCHANNELLIST',0,'' ,0 ,0,0,0,1,1)  
[2023-06-07 11:55:26] HotelChannelModel.INFO: Query : call SP_AddandEdithotelChannelInfo('GETCHANNELLIST',0,'' ,0 ,0,0,0,1,1)  
[2023-06-07 11:56:07] HotelChannelModel.INFO: Query : call SP_AddandEdithotelChannelInfo('GETCHANNELLIST',0,'' ,0 ,0,0,0,1,1)  
[2023-06-07 11:56:17] HotelChannelModel.INFO: Query : call SP_AddandEdithotelChannelInfo('GETCHANNELLIST',0,'' ,0 ,0,0,0,1,1)  
[2023-06-07 11:56:39] HotelChannelModel.INFO: Query : call SP_AddandEdithotelChannelInfo('GETCHANNELLIST',0,'' ,0 ,0,0,0,1,1)  
[2023-06-07 11:56:50] HotelChannelModel.INFO: Query : call SP_AddandEdithotelChannelInfo('GETCHANNELLIST',0,'' ,0 ,0,0,0,1,1)  
[2023-06-07 12:04:00] HotelChannelModel.INFO: Query : call SP_AddandEdithotelChannelInfo('GETCHANNELLIST',0,'' ,0 ,0,0,0,1,1)  
[2023-06-07 12:07:20] HotelChannelModel.INFO: Query : call SP_AddandEdithotelChannelInfo('GETCHANNELLIST',0,'' ,0 ,0,0,0,1,1)  
[2023-06-07 12:07:55] HotelChannelModel.INFO: Query : call SP_AddandEdithotelChannelInfo('GETCHANNELLIST',0,'' ,0 ,0,0,0,1,1)  
[2023-06-07 12:08:23] HotelChannelModel.INFO: Query : call SP_AddandEdithotelChannelInfo('GETCHANNELLIST',0,'' ,0 ,0,0,0,1,1)  
[2023-06-07 12:08:24] HotelChannelModel.INFO: Query : call SP_AddandEdithotelChannelInfo('GETCHANNELLIST',0,'' ,0 ,0,0,0,1,1)  
[2023-06-07 12:09:59] HotelChannelModel.INFO: Query : call SP_AddandEdithotelChannelInfo('GETCHANNELLIST',0,'' ,0 ,0,0,0,1,1)  
[2023-06-07 12:10:25] HotelChannelModel.INFO: Query : call SP_AddandEdithotelChannelInfo('GETCHANNELLIST',0,'' ,0 ,0,0,0,1,1)  
[2023-06-07 12:14:33] HotelChannelModel.INFO: Query : call SP_AddandEdithotelChannelInfo('GETCHANNELLIST',0,'' ,0 ,0,0,0,1,1)  
