[2023-06-23 05:39:35] ChannelModel.INFO: Query : call SP_AddandEditChannelInfo('UPDATE','fadsds', 'public/uploads/Channels/fadsds.png', 156,1)  
[2023-06-23 05:48:02] ChannelModel.INFO: Query : call SP_AddandEditChannelInfo('UPDATE','Did', '', 159,1)  
[2023-06-23 05:52:56] ChannelModel.INFO: Query : call SP_AddandEditChannelInfo('UPDATE','Did', '', 159,1)  
[2023-06-23 05:53:10] ChannelModel.INFO: Query : call SP_AddandEditChannelInfo('UPDATE','Did', '', 159,1)  
[2023-06-23 05:54:43] ChannelModel.INFO: Query : call SP_AddandEditChannelInfo('UPDATE','Did', '', 159,1)  
[2023-06-23 05:55:18] ChannelModel.INFO: Query : call SP_AddandEditChannelInfo('UPDATE','Did', 'public/uploads/Channels/Did.png', 159,1)  
[2023-06-23 05:55:34] ChannelModel.INFO: Query : call SP_AddandEditChannelInfo('UPDATE','Did', 'public/uploads/Channels/Did.png', 159,1)  
[2023-06-23 05:55:51] ChannelModel.INFO: Query : call SP_AddandEditChannelInfo('UPDATE','Did', 'public/uploads/Channels/Did.png', 159,1)  
[2023-06-23 05:56:39] ChannelModel.INFO: Query : call SP_AddandEditChannelInfo('ADD','test','public/uploads/Channels/test.png' ,0 ,1)  
[2023-06-23 05:56:39] ChannelModel.INFO: Query : call SP_AddandEditChannelInfo('ADD','test','public/uploads/Channels/test.png' ,0 ,1)  
[2023-06-23 05:56:39] ChannelModel.INFO: Query : call SP_AddandEditChannelInfo('ADD','test','public/uploads/Channels/test.png' ,0 ,1)  
[2023-06-23 05:56:39] ChannelModel.INFO: Query : call SP_AddandEditChannelInfo('ADD','test','public/uploads/Channels/test.png' ,0 ,1)  
[2023-06-23 05:56:41] ChannelModel.INFO: Query : call SP_AddandEditChannelInfo('ADD','test','public/uploads/Channels/test.png' ,0 ,1)  
[2023-06-23 05:56:41] ChannelModel.INFO: Query : call SP_AddandEditChannelInfo('ADD','test','public/uploads/Channels/test.png' ,0 ,1)  
[2023-06-23 05:56:41] ChannelModel.INFO: Query : call SP_AddandEditChannelInfo('ADD','test','public/uploads/Channels/test.png' ,0 ,1)  
[2023-06-23 05:56:41] ChannelModel.INFO: Query : call SP_AddandEditChannelInfo('ADD','test','public/uploads/Channels/test.png' ,0 ,1)  
[2023-06-23 05:56:48] ChannelModel.INFO: Query : call SP_AddandEditChannelInfo('ADD','test10','public/uploads/Channels/test10.png' ,0 ,1)  
[2023-06-23 05:56:48] ChannelModel.INFO: Query : call SP_AddandEditChannelInfo('ADD','test','public/uploads/Channels/test.png' ,0 ,1)  
[2023-06-23 05:56:48] ChannelModel.INFO: Query : call SP_AddandEditChannelInfo('ADD','test','public/uploads/Channels/test.png' ,0 ,1)  
[2023-06-23 05:56:48] ChannelModel.INFO: Query : call SP_AddandEditChannelInfo('ADD','test','public/uploads/Channels/test.png' ,0 ,1)  
[2023-06-23 06:01:12] ChannelModel.INFO: Query : call SP_AddandEditChannelInfo('UPDATE','Did', 'public/uploads/Channels/Did.png', 159,1)  
[2023-06-23 06:01:35] ChannelModel.INFO: Query : call SP_AddandEditChannelInfo('UPDATE','Did', 'public/uploads/Channels/Did.png', 159,1)  
[2023-06-23 06:02:58] ChannelModel.INFO: Query : call SP_AddandEditChannelInfo('UPDATE','Did', 'public/uploads/Channels/Did.png', 159,1)  
[2023-06-23 06:03:11] ChannelModel.INFO: Query : call SP_AddandEditChannelInfo('UPDATE','Did', '', 159,1)  
[2023-06-23 06:03:16] ChannelModel.INFO: Query : call SP_AddandEditChannelInfo('UPDATE','Did', '', 159,1)  
[2023-06-23 06:05:57] ChannelModel.INFO: Query : call SP_AddandEditChannelInfo('UPDATE','Did', 'public/uploads/Channels/Did.png', 159,1)  
[2023-06-23 06:06:51] ChannelModel.INFO: Query : call SP_AddandEditChannelInfo('UPDATE','test10', 'public/uploads/Channels/test10.jpg', 162,1)  
[2023-06-23 06:07:06] ChannelModel.INFO: Query : call SP_AddandEditChannelInfo('UPDATE','test10', 'public/uploads/Channels/test10.png', 162,1)  
[2023-06-23 06:07:18] ChannelModel.INFO: Query : call SP_AddandEditChannelInfo('UPDATE','fdas', 'public/uploads/Channels/fdas.png', 157,1)  
[2023-06-23 06:07:33] ChannelModel.INFO: Query : call SP_AddandEditChannelInfo('UPDATE','Did', 'public/uploads/Channels/Did.png', 159,1)  
[2023-06-23 06:38:56] ChannelModel.INFO: Query : call SP_AddandEditChannelInfo('UPDATE','test10', 'public/uploads/Channels/test10.png', 162,1)  
[2023-06-23 07:11:12] ChannelModel.INFO: Query : call SP_AddandEditChannelInfo('UPDATE','fdassdfds', 'public/uploads/Channels/fdassdfds.png', 157,1)  
[2023-06-23 09:52:03] ChannelModel.INFO: Query : call SP_AddandEditChannelInfo('UPDATE','test10', 'public/uploads/Channels/test10.png', 162,1)  
